,n1,n2,n3,n4,n6,n7,n8,n9,n10,n11,n13,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n39,n40,n41,n42,n43,n44,n45,n343,n344,n345,n346,n347,n349,n350,n351,n352,n353,n354,n355,n356,n357,n358,n360,n361,n362,n364,n365,n366,n367,n368,n369,n370,n371,n372,n373,n374,n375,n376,n377,n378,n379,n381,n382,n383,n384,n385,n386,n387,n388,n389
03:20:00,91.84,29.12,45.17,322.61,54.96,58.93,65.9,70.89,17.73,111.08,38.33,20.73,83.27,14.24,23.45,31.7,12.06,25.47,71.25,7.33,4988.34,15.45,29.49,221.84,8.7,62.71,21.4,12.58,76.36,21.35,32.32,45.25,2.97,71.77,32.89,49.02,16.01,6.48,64.92,31.44,53.16,11.09,26.37,16.78,12.0,31.56,85.18,21.61,47.87,25.77,82.99,20.17,27.52,107.85,55.57,19.9,1.37,13.36,23.29,37.64,61.83,19.64,32.0,156.72,17.76,6.75,6.83,19.46,12.31,17.41,222.47,2.88,22.01,45.46,32.09,17.35,30.75,7.57,55.4,27.01,140.92,31.04
03:25:00,102.64,29.32,45.16,326.46,51.97,59.12,63.91,65.39,17.03,118.74,39.0,20.17,78.75,13.86,23.16,30.41,12.89,26.13,66.26,7.32,5003.55,15.91,29.87,227.71,8.5,62.7,19.71,12.55,79.3,20.28,30.33,41.67,2.93,68.28,32.92,49.06,15.09,6.52,62.27,31.87,53.21,10.97,23.67,19.16,12.01,31.81,85.96,22.73,46.75,25.08,78.83,19.72,26.87,109.24,52.87,18.35,1.39,13.41,21.7,35.85,59.04,19.78,31.15,158.07,17.29,6.87,6.55,20.46,11.47,17.53,222.57,2.74,21.11,43.66,31.23,16.83,28.41,6.79,55.9,26.3,143.63,29.08
03:30:00,120.05,28.89,43.9,332.94,52.17,57.73,61.26,64.42,16.98,109.8,35.94,20.09,79.04,13.24,23.75,29.17,11.92,24.49,67.82,7.35,4977.47,15.18,29.55,233.28,8.41,60.95,19.83,12.61,78.62,20.59,29.76,41.94,3.01,64.21,31.71,47.26,15.71,6.43,59.73,31.79,51.25,10.62,24.54,21.73,11.57,29.87,81.9,20.79,46.28,23.95,80.05,19.79,25.79,108.05,49.71,18.08,1.36,13.09,21.81,35.62,63.37,19.49,30.03,153.19,17.22,6.33,6.29,19.29,11.53,17.17,220.54,2.73,20.25,43.52,32.04,16.13,28.55,7.04,53.26,25.35,140.62,28.44
03:35:00,138.17,27.72,43.25,340.0,49.32,54.17,61.93,60.42,16.55,109.56,35.99,19.18,74.73,12.97,21.36,29.25,11.9,22.92,67.44,6.87,4927.01,15.61,27.39,222.36,8.07,60.05,19.37,11.78,78.67,20.18,30.78,40.96,2.7,62.52,29.47,43.92,14.77,6.16,59.9,30.23,47.64,10.63,23.55,24.28,10.75,29.65,82.41,21.03,44.42,23.46,78.45,18.45,24.49,100.16,48.41,16.96,1.38,12.29,21.71,33.97,60.22,18.7,30.48,153.79,16.44,6.34,6.3,19.36,11.48,16.66,216.34,2.6,20.31,42.43,29.89,16.31,25.89,6.76,53.6,25.73,140.69,27.65
03:40:00,157.04,26.88,42.6,342.44,50.76,52.99,55.88,57.12,15.55,104.73,35.5,19.33,76.91,13.03,21.5,28.45,11.37,23.35,65.6,7.05,4776.85,15.4,27.18,231.27,7.98,59.14,19.15,12.08,76.36,19.56,30.04,40.5,2.72,61.03,29.11,43.39,14.14,5.98,58.26,29.48,47.06,10.16,22.9,26.96,10.62,27.44,79.16,20.44,43.9,23.57,76.03,18.62,24.96,99.37,47.25,16.03,1.3,12.02,20.71,32.44,59.94,18.13,29.03,157.28,16.57,6.25,6.13,18.82,10.95,15.9,210.42,2.48,19.75,39.86,29.71,14.72,24.74,6.57,51.48,24.51,136.45,25.77
03:45:00,185.4,27.06,36.93,357.14,47.12,52.63,57.15,59.22,16.28,102.09,34.07,19.63,71.39,12.71,20.75,28.03,11.09,21.95,66.98,6.73,4740.3,14.86,26.01,211.78,7.59,51.27,17.9,11.54,79.78,19.42,27.37,37.85,2.63,60.66,28.98,43.19,13.58,6.02,57.4,29.27,46.84,9.49,22.63,29.19,10.57,27.22,75.63,19.79,41.75,23.0,75.5,18.67,23.74,95.12,46.97,16.62,1.25,11.94,20.78,32.62,59.69,18.25,28.06,154.55,16.83,6.0,6.04,18.11,10.98,15.85,210.94,2.5,19.46,41.73,28.5,15.05,25.33,6.49,49.19,23.69,129.31,26.24
03:50:00,211.76,24.38,38.53,365.74,45.4,49.51,55.37,53.91,15.56,94.28,32.74,17.46,68.78,12.15,20.22,26.14,10.24,21.26,66.05,6.19,4653.46,15.89,27.07,219.34,7.47,53.49,18.44,10.61,77.08,18.88,29.64,39.0,2.56,59.14,27.81,41.45,13.1,5.42,53.53,27.22,44.96,9.66,22.14,30.8,10.15,26.27,73.83,19.96,41.1,21.98,73.38,17.31,22.12,99.0,45.79,15.13,1.15,11.23,19.51,31.59,58.84,16.45,27.38,152.48,14.96,5.77,5.63,17.07,10.32,15.78,213.17,2.42,18.15,39.89,28.56,14.58,23.19,6.35,48.02,23.12,127.79,25.57
03:55:00,240.4,21.85,38.76,373.95,44.96,49.19,56.4,51.89,15.39,99.24,31.14,17.8,68.12,11.75,19.7,25.91,10.78,21.18,64.38,6.3,4575.4,15.08,25.63,212.31,7.56,53.81,17.05,10.81,76.83,18.9,27.66,36.06,2.49,55.31,26.49,39.49,12.82,4.86,53.05,25.02,42.83,9.8,20.12,32.26,9.66,24.92,68.41,19.54,41.6,21.25,73.49,17.56,21.87,93.71,42.83,14.56,1.2,11.15,18.88,29.86,57.98,14.74,26.35,152.95,15.25,5.48,5.58,17.48,9.98,15.1,222.49,2.28,17.99,39.45,27.7,14.85,22.63,5.77,44.49,22.24,133.15,23.53
04:00:00,271.71,23.55,36.24,385.44,44.59,47.61,53.16,51.58,14.38,94.35,32.41,17.42,67.56,11.23,19.51,26.67,10.25,19.87,64.11,6.33,4490.24,14.94,26.1,222.31,7.61,50.31,15.8,10.85,73.56,17.14,29.83,33.41,2.47,55.89,26.81,39.96,11.78,5.24,54.62,26.75,43.34,9.21,20.3,33.13,9.78,23.83,69.05,19.47,41.89,20.31,66.64,16.86,23.08,95.44,43.27,14.47,1.17,10.8,18.31,30.26,60.61,15.88,24.88,156.88,14.93,5.71,5.75,17.67,9.68,14.72,202.45,2.31,18.52,36.86,26.75,14.0,21.72,5.82,44.9,21.0,127.49,23.4
04:05:00,298.69,22.93,35.57,417.78,43.61,47.64,52.66,48.17,15.31,90.55,31.29,17.54,66.08,11.05,19.29,23.99,9.83,18.39,65.12,5.71,4345.28,14.69,25.56,207.19,7.46,49.38,15.3,9.8,69.14,17.2,27.35,32.36,2.44,53.69,27.13,40.44,11.27,5.1,49.13,26.0,43.85,8.91,19.24,32.72,9.9,23.94,69.86,18.48,41.04,19.99,66.85,16.39,21.61,93.47,41.57,13.52,1.18,10.8,17.95,29.0,61.0,15.47,24.85,153.25,15.03,5.51,5.17,17.08,9.49,14.38,220.36,2.22,16.66,39.24,26.34,13.87,20.89,5.52,45.43,20.98,132.7,23.31
04:10:00,335.34,22.46,34.45,511.37,42.64,44.56,52.88,49.38,14.72,91.14,32.95,16.26,64.62,11.22,17.98,24.59,9.9,18.34,64.56,5.72,4261.15,14.78,25.23,221.4,7.33,47.83,16.0,9.8,74.56,18.17,28.55,33.83,2.27,53.97,25.51,38.03,11.52,5.0,50.36,25.55,41.24,8.92,19.6,32.38,9.31,23.16,66.08,17.98,40.32,20.29,70.65,17.64,21.52,92.27,41.79,13.86,1.21,10.1,17.87,30.32,55.51,15.15,24.2,150.08,13.94,5.8,5.3,17.14,9.45,14.6,214.16,2.32,17.07,37.72,25.91,13.93,20.62,5.62,42.97,20.43,119.97,22.09
04:15:00,369.57,21.13,35.05,639.32,41.17,43.78,51.16,48.28,14.76,91.87,29.36,17.03,62.39,10.82,19.15,23.99,9.97,18.7,65.72,5.88,4128.3,13.95,25.16,215.52,7.19,48.66,15.87,10.09,73.33,17.7,28.69,33.56,2.42,54.29,25.87,38.56,11.67,4.7,49.12,24.47,41.82,8.5,20.58,31.36,9.44,23.14,66.18,18.57,39.55,19.57,68.79,17.5,20.62,92.01,42.03,13.55,1.15,9.93,17.67,29.05,57.7,14.25,25.18,146.75,14.59,5.17,5.17,16.42,9.34,14.49,206.65,2.22,16.65,37.84,27.33,13.47,20.42,5.91,43.04,21.25,119.25,23.2
04:20:00,420.18,22.33,34.8,808.45,41.92,45.57,55.68,48.5,14.97,88.89,32.11,16.88,63.52,10.39,18.23,23.25,9.65,18.41,64.42,5.94,4089.17,14.39,25.05,206.38,7.44,48.31,17.11,10.18,73.65,17.43,27.41,36.18,2.31,53.34,26.31,39.21,12.03,4.97,47.61,25.47,42.53,8.8,20.03,30.97,9.6,22.69,66.01,19.09,40.92,18.8,67.75,17.17,20.51,91.6,41.3,13.61,1.19,10.33,16.63,29.65,57.45,15.06,24.06,152.97,14.46,5.65,5.01,17.14,8.79,14.74,202.31,2.27,16.14,38.37,26.46,14.66,20.74,5.75,42.93,20.31,124.85,22.99
04:25:00,460.56,21.95,35.22,1004.84,43.55,45.87,50.19,49.68,14.8,89.24,32.75,17.3,65.98,10.48,18.58,23.65,9.69,19.46,63.91,5.9,3896.29,15.3,24.87,213.61,7.73,48.91,16.41,10.11,75.31,17.89,28.64,34.71,2.35,54.14,25.2,37.56,12.7,4.88,48.42,24.88,40.73,8.58,20.58,29.6,9.19,22.96,65.86,19.63,42.55,18.96,69.55,16.85,21.68,90.95,41.92,13.94,1.18,10.4,17.94,29.27,55.07,14.8,24.1,148.84,14.83,5.77,5.1,16.77,9.48,14.93,195.46,2.24,16.42,37.94,27.79,13.22,21.91,5.9,42.83,20.34,124.73,22.65
04:30:00,520.71,21.67,35.56,1228.43,41.7,46.65,54.25,50.78,15.8,90.59,32.03,16.89,63.18,10.88,19.44,23.17,9.84,18.95,65.08,6.06,3836.33,15.17,25.26,219.82,7.38,49.37,17.06,10.39,75.73,17.94,28.82,36.09,2.46,55.37,25.39,37.84,12.9,4.82,47.45,24.95,41.03,8.71,21.6,28.79,9.26,23.04,67.22,19.82,40.6,19.67,69.75,17.67,20.91,92.37,42.87,14.25,1.23,10.58,17.45,28.72,55.86,14.62,24.63,146.02,14.47,5.64,4.99,16.68,9.22,15.53,199.52,2.2,16.09,40.51,26.55,14.28,22.53,6.2,43.71,20.79,122.65,23.44
04:35:00,571.25,22.2,34.22,1425.21,39.75,49.22,56.94,49.85,14.87,95.26,34.69,16.38,60.23,10.46,20.74,22.38,10.34,19.85,62.8,6.07,3707.65,14.59,26.54,213.29,8.01,47.51,16.72,10.41,72.32,17.74,28.96,35.35,2.62,55.08,26.69,39.78,13.06,4.94,45.83,25.31,43.14,9.15,22.03,27.9,9.74,23.59,67.43,19.95,44.1,18.92,68.97,18.79,20.12,97.06,42.65,13.99,1.21,11.16,17.23,28.36,57.94,14.98,25.08,153.19,14.04,6.11,4.82,17.29,9.11,15.87,203.89,2.17,15.54,38.12,29.27,14.99,24.21,6.32,43.85,21.17,125.47,22.17
04:40:00,643.01,23.02,34.18,1639.29,41.87,48.48,57.46,51.48,16.05,91.43,34.66,17.59,63.43,11.24,20.56,22.88,9.93,20.79,64.03,6.52,3661.22,15.03,25.77,210.88,7.75,47.46,17.46,11.17,74.17,18.3,27.01,36.92,2.6,55.11,25.55,38.08,14.15,5.12,46.86,25.59,41.3,8.97,23.65,26.65,9.32,24.23,71.35,20.75,42.65,20.34,71.12,18.16,20.42,94.26,42.67,14.45,1.21,10.99,18.07,29.5,56.34,15.52,25.31,149.11,15.08,6.1,4.93,17.94,9.55,15.96,200.27,2.26,15.89,41.16,27.88,15.13,24.43,6.78,46.4,21.37,126.81,23.88
04:45:00,703.09,21.96,35.1,1840.97,42.61,52.05,60.99,52.8,16.51,92.58,35.94,17.78,64.56,11.29,19.96,22.92,10.05,20.22,62.82,6.73,3498.02,14.56,25.28,217.08,7.6,48.74,17.77,11.54,69.66,18.32,28.48,37.58,2.53,54.7,27.72,41.31,13.64,4.88,46.93,24.94,44.8,9.07,22.4,25.92,10.11,24.89,67.29,20.57,41.8,20.43,71.2,19.72,20.79,92.44,42.36,14.82,1.25,11.8,17.58,30.66,56.23,14.81,25.88,142.83,15.24,6.33,4.94,18.86,9.3,17.23,207.32,2.35,15.91,42.32,27.79,16.06,24.33,6.43,43.76,21.85,127.48,24.02
04:50:00,785.64,23.33,34.94,1973.86,45.96,50.37,60.06,53.33,16.6,96.3,37.3,18.42,69.64,11.05,20.49,23.43,10.46,21.23,62.74,6.89,3415.16,14.29,27.17,220.12,8.45,48.51,18.67,11.81,74.75,19.09,27.2,39.47,2.59,56.47,28.04,41.79,14.05,5.19,47.97,26.33,45.33,9.12,24.32,25.04,10.23,25.42,71.13,21.55,46.5,20.0,74.21,19.88,20.7,99.35,43.73,14.97,1.27,11.42,18.81,29.81,57.11,15.74,27.6,153.0,15.78,6.57,5.05,18.24,9.95,18.22,203.17,2.28,16.26,42.54,29.09,15.82,25.98,6.98,46.26,23.3,127.69,24.81
04:55:00,858.5,23.53,37.72,2093.16,46.15,55.9,61.11,57.47,17.05,96.13,37.32,17.97,69.93,11.89,21.35,24.41,10.44,21.27,64.08,6.89,3304.57,14.85,27.85,215.02,8.25,52.37,18.85,11.82,72.89,18.47,28.55,39.86,2.7,59.38,27.76,41.37,14.55,5.23,49.99,26.73,44.87,9.67,25.0,24.49,10.13,28.17,72.72,21.68,45.38,21.5,71.79,20.62,21.88,101.84,45.98,16.13,1.27,12.68,18.79,30.93,58.19,15.87,26.75,148.25,15.4,6.57,5.26,19.92,9.93,18.17,196.5,2.37,16.95,43.71,31.05,16.09,26.01,7.17,47.29,22.58,129.63,26.76
05:00:00,912.94,24.27,39.34,2139.92,47.11,56.87,65.83,59.68,17.3,94.5,38.98,18.05,71.38,11.82,21.92,24.47,10.26,22.35,61.13,6.93,3230.76,14.89,27.76,209.76,8.57,54.61,20.54,11.89,70.29,19.53,27.79,43.44,2.77,62.98,28.97,43.19,15.72,5.4,50.12,26.81,46.84,10.57,26.85,23.76,10.57,28.4,73.79,21.8,47.17,21.38,75.91,21.26,22.12,101.54,48.77,16.75,1.28,12.9,18.46,32.4,59.28,16.37,27.8,154.37,15.47,6.86,5.27,19.84,9.76,19.15,203.1,2.48,16.99,44.36,30.3,17.34,28.61,7.7,47.99,23.47,131.42,26.69
05:05:00,984.83,24.99,38.01,2214.07,47.41,61.23,66.88,64.8,18.88,101.6,39.08,17.86,71.84,12.47,23.15,26.6,11.03,23.58,62.55,7.21,3152.47,14.51,28.7,209.36,9.4,52.77,20.94,12.37,70.13,19.65,28.28,44.28,2.93,63.66,28.82,42.95,16.18,5.56,54.47,27.55,46.58,10.62,28.34,24.24,10.51,30.39,77.52,24.04,51.72,22.55,76.4,23.26,22.66,104.97,49.29,18.19,1.32,13.88,20.25,35.35,59.35,16.86,28.71,154.77,15.31,6.88,5.73,21.36,10.7,19.54,202.99,2.7,18.47,48.39,32.31,17.61,31.18,8.13,50.41,24.24,137.48,27.74
05:10:00,1057.2,26.65,39.38,2255.59,48.91,62.96,69.02,63.5,18.2,102.61,41.92,19.5,74.1,12.93,22.86,25.82,11.14,26.4,63.94,8.1,3002.62,15.23,31.21,207.68,9.75,54.67,21.97,13.89,75.8,20.57,27.71,46.46,2.89,65.5,31.78,47.37,17.74,5.93,52.88,29.07,51.38,10.78,29.77,25.22,11.59,31.33,82.07,25.35,53.65,23.39,79.95,24.92,23.21,114.12,50.71,17.82,1.43,14.28,21.35,34.83,61.2,17.98,30.58,152.61,16.72,7.38,5.56,22.66,11.29,21.1,214.56,2.67,17.93,46.67,34.68,18.17,34.91,8.54,53.37,25.82,138.53,29.54
05:15:00,1130.78,27.27,41.18,2317.08,54.71,70.27,73.65,73.6,20.06,113.99,46.2,20.23,82.89,14.54,26.3,26.84,12.38,27.69,68.34,8.69,2939.1,14.48,31.93,209.13,10.49,57.18,25.24,14.91,68.41,21.98,27.35,53.38,3.33,70.33,33.9,50.53,18.89,6.06,54.96,29.71,54.8,11.67,32.05,27.31,12.37,33.03,86.59,27.36,57.72,26.29,85.44,26.11,23.79,116.76,54.45,20.66,1.48,15.93,22.03,37.61,59.88,18.39,34.32,152.03,17.34,8.14,5.78,24.6,11.65,22.29,207.07,2.88,18.63,51.42,34.4,19.39,37.26,9.2,56.31,28.98,142.54,32.39
05:20:00,1210.62,30.36,45.82,2417.13,56.47,73.07,75.32,80.97,21.46,122.7,46.49,20.96,85.56,14.76,28.31,28.34,13.32,29.88,68.79,9.03,2882.61,15.05,34.39,208.16,11.16,63.62,27.0,15.49,69.17,23.24,27.23,57.11,3.58,74.91,36.29,54.09,22.24,6.75,58.04,32.02,58.67,11.88,35.34,29.29,13.24,38.18,93.49,29.68,61.42,26.7,90.33,28.88,26.32,125.77,58.0,22.73,1.61,16.57,24.76,40.37,57.84,20.48,35.22,151.01,17.96,8.19,6.11,26.45,13.09,25.94,203.21,3.09,19.68,55.02,37.12,19.83,39.07,10.14,60.8,29.73,146.77,34.46
05:25:00,1268.34,33.25,50.99,2464.22,60.33,84.73,86.35,92.19,23.96,123.07,53.84,23.06,91.42,15.1,30.78,32.42,13.36,34.41,68.41,9.95,2773.68,15.46,36.67,213.06,11.76,70.8,30.95,17.06,74.37,25.79,26.65,65.45,3.89,78.53,39.97,59.57,24.4,7.39,66.39,34.54,64.61,12.56,38.95,32.25,14.58,41.56,101.66,32.05,64.69,27.31,100.27,30.37,28.83,134.1,60.8,25.87,1.76,19.21,26.02,43.27,61.96,22.43,40.89,150.49,19.76,9.48,6.99,28.45,13.75,29.04,207.31,3.31,22.51,61.43,39.74,22.74,45.18,11.17,66.11,34.52,153.99,37.6
05:30:00,1314.08,36.35,52.38,2485.53,72.24,92.38,92.72,101.13,26.83,141.35,59.99,24.48,109.46,17.7,32.02,33.9,15.35,39.07,63.08,11.4,2675.79,15.23,41.52,222.79,13.08,72.73,33.21,19.56,74.02,27.18,28.38,70.24,4.05,85.53,41.41,61.72,27.62,8.08,69.41,37.02,66.93,13.42,44.23,35.26,15.11,47.3,108.49,34.12,71.99,32.02,105.64,34.26,30.09,151.85,66.22,28.38,1.97,20.95,29.16,46.17,62.92,24.52,44.09,161.04,20.99,10.56,7.31,31.37,15.42,29.96,214.17,3.53,23.53,68.79,44.03,24.42,50.9,12.69,70.55,37.22,163.88,42.89
05:35:00,1360.62,41.1,59.64,2596.35,74.28,107.8,108.09,110.43,29.21,142.8,64.31,27.62,112.55,20.45,36.33,38.48,15.51,40.99,68.27,12.68,2575.32,15.51,44.6,220.87,15.03,82.8,36.36,21.74,71.54,30.85,28.97,76.9,4.6,91.95,47.71,71.11,30.35,9.14,78.81,41.53,77.12,14.83,47.32,38.35,17.4,51.32,123.0,36.84,82.7,37.0,119.92,35.09,33.38,163.09,71.19,30.99,2.18,24.44,32.5,49.85,65.22,27.72,50.07,155.26,23.68,11.32,8.29,35.27,17.18,34.88,205.33,3.81,26.72,74.89,49.66,28.46,59.37,13.58,79.99,42.27,174.43,48.28
05:40:00,1387.48,47.0,63.99,2676.9,84.56,112.42,111.85,129.48,31.39,164.52,72.48,30.92,128.13,22.05,40.62,44.89,17.86,48.27,72.26,14.39,2492.12,15.46,50.74,213.45,16.31,88.84,41.66,24.67,75.54,34.07,28.92,88.1,5.14,109.95,49.33,73.52,35.71,10.45,91.94,46.33,79.73,16.98,53.05,41.09,17.99,55.6,134.96,39.51,89.78,39.9,132.44,41.49,34.54,185.55,85.13,36.34,2.22,25.49,34.95,59.16,64.06,31.7,55.47,161.47,26.5,12.76,9.68,38.13,18.48,39.43,199.6,4.53,31.17,80.46,50.94,29.45,64.93,15.22,87.77,46.83,171.09,52.0
05:45:00,1451.77,52.71,72.4,2746.06,95.22,136.75,120.57,150.12,33.96,179.76,78.77,31.74,144.27,25.22,44.34,46.62,19.52,53.9,68.05,15.51,2374.26,15.76,60.01,213.99,18.43,100.52,45.0,26.6,74.19,37.4,27.95,95.16,5.61,116.58,59.94,89.33,39.72,11.72,95.47,51.1,96.88,18.03,58.14,45.0,21.86,62.96,148.38,45.93,101.39,45.62,145.38,49.21,39.51,219.47,90.27,42.13,2.51,31.01,40.04,64.51,68.2,35.56,63.37,160.84,27.2,13.87,10.05,43.3,21.17,46.47,210.68,4.94,32.37,87.06,58.69,31.75,72.99,16.68,96.5,53.49,190.17,61.71
05:50:00,1459.51,56.95,81.8,2818.44,106.92,143.34,141.06,167.96,37.26,211.46,82.77,38.44,162.01,30.29,50.66,52.65,22.96,63.5,73.36,17.74,2350.35,16.61,60.45,217.3,20.49,113.57,52.14,30.43,72.72,41.85,27.68,110.27,6.41,133.34,65.2,97.18,45.3,12.66,107.82,54.73,105.4,20.58,67.52,47.22,23.79,76.29,164.62,50.5,112.77,54.8,162.69,54.45,45.97,221.05,103.25,47.14,2.82,32.5,45.76,71.37,69.69,38.42,70.19,158.93,32.95,14.58,11.35,47.24,24.19,48.89,207.82,5.46,36.55,95.51,66.71,37.15,86.51,19.37,107.06,59.26,199.86,67.1
05:55:00,1488.23,68.31,92.04,2907.12,118.87,166.29,150.76,182.47,42.56,231.49,102.15,40.63,180.11,31.12,59.69,60.23,25.14,70.58,74.08,20.15,2252.63,16.62,70.2,224.71,23.56,127.79,57.95,34.56,77.94,46.68,28.12,122.55,7.55,145.24,75.28,112.2,50.4,15.19,123.34,64.12,121.69,22.59,76.92,50.1,27.46,88.56,197.6,56.49,129.66,56.29,181.44,60.2,50.09,256.72,112.46,51.21,3.02,37.71,48.75,77.95,74.13,46.08,79.64,167.44,34.82,17.99,12.98,56.32,25.77,54.65,209.59,5.96,41.82,109.1,73.49,39.7,92.56,22.07,128.5,67.23,213.86,77.53
06:00:00,1504.55,76.28,109.04,2965.53,135.73,200.45,175.45,212.37,46.4,262.23,107.78,45.3,205.65,34.11,64.12,67.49,28.47,81.4,78.02,22.83,2156.94,16.96,74.72,220.31,26.93,151.4,65.82,39.15,79.05,51.9,29.29,139.19,8.11,167.51,78.97,117.71,57.98,16.96,138.2,70.96,127.65,25.66,85.05,52.25,28.81,94.8,210.34,65.04,148.19,61.71,201.75,66.9,59.16,273.24,129.7,59.6,3.42,45.46,54.12,85.71,75.97,51.45,90.21,175.54,38.83,18.98,14.54,59.67,28.61,60.72,208.43,6.56,46.85,118.95,79.08,46.2,109.72,24.4,136.79,76.16,238.04,80.53
06:05:00,1505.49,88.08,115.77,3000.08,144.59,215.15,181.63,233.87,52.17,286.22,124.26,49.11,219.09,39.99,70.26,75.83,31.08,89.83,76.92,25.7,2089.63,17.0,84.89,225.61,27.75,160.73,74.28,44.07,78.47,58.22,28.84,157.08,8.89,184.79,87.2,129.98,67.35,19.59,155.3,80.9,140.96,26.55,94.71,54.35,31.81,105.37,244.28,71.01,152.68,72.34,226.3,73.43,62.58,310.43,143.08,65.64,3.83,48.79,61.03,98.36,76.25,59.41,104.4,174.9,42.1,21.88,16.34,66.18,32.26,67.79,214.24,7.53,52.65,133.73,93.43,47.83,125.21,27.17,158.86,88.14,251.26,95.36
06:10:00,1513.59,96.84,122.32,3018.7,166.88,237.6,220.75,263.3,55.99,315.48,130.9,54.88,252.86,43.23,80.52,83.77,34.26,97.09,81.12,28.76,2048.62,17.84,92.85,219.22,32.34,169.84,79.21,49.32,78.67,62.99,29.89,167.51,10.19,204.09,95.9,142.94,70.67,21.54,171.55,88.54,155.03,29.93,102.31,56.78,34.99,120.12,257.05,77.6,177.96,78.2,244.85,82.21,66.25,339.52,158.02,73.9,4.16,53.88,67.24,107.9,84.85,65.33,111.38,180.64,47.04,23.05,18.05,74.45,35.55,73.99,214.69,8.25,58.16,143.54,101.81,58.13,139.15,29.36,167.17,94.03,271.85,103.72
06:15:00,1539.16,102.1,141.16,2992.34,176.64,260.48,225.64,303.68,59.42,341.79,149.26,61.68,267.64,46.06,86.64,89.82,37.11,110.12,80.15,31.13,2013.29,17.7,99.79,235.07,34.39,195.98,88.05,53.4,78.65,67.63,29.6,186.19,10.96,219.53,102.8,153.23,80.06,22.7,183.93,92.95,166.18,34.05,112.32,59.27,37.5,128.3,280.76,85.71,189.26,83.33,262.9,86.87,72.69,364.94,169.98,85.23,4.28,59.07,78.34,116.91,85.27,68.87,125.18,171.16,52.87,26.28,19.36,79.04,41.42,83.64,221.66,8.94,62.36,152.32,110.67,59.42,151.95,32.23,182.58,105.68,286.76,118.19
06:20:00,1549.73,115.86,152.18,2928.05,193.16,292.79,237.02,309.17,64.59,386.12,160.47,61.81,292.67,50.23,94.21,97.03,41.93,114.68,85.01,33.55,1965.7,18.77,109.16,229.86,36.76,211.28,95.98,57.54,77.68,75.44,30.31,202.96,11.92,234.08,111.39,166.02,86.25,25.77,198.7,104.7,180.05,35.74,123.82,60.99,40.63,135.58,314.99,93.78,202.29,90.87,293.26,97.48,79.88,399.17,181.24,86.77,4.93,66.4,84.94,122.25,87.99,78.15,135.72,186.59,52.98,28.26,20.91,83.92,44.9,91.52,218.95,9.35,67.36,165.59,112.35,62.41,161.53,35.53,204.85,114.58,314.25,122.39
06:25:00,1537.54,124.89,163.58,2876.47,215.4,296.81,272.14,345.06,70.21,400.95,172.25,68.33,326.37,55.55,98.98,106.04,43.54,129.87,87.0,35.72,1936.68,19.16,113.77,236.75,39.94,227.12,105.13,61.25,86.35,82.49,29.71,222.32,12.52,264.81,124.77,185.98,93.06,27.77,217.15,112.31,201.7,38.87,134.17,64.3,45.52,156.0,325.7,98.54,219.8,100.48,320.67,103.38,83.96,416.02,205.04,96.84,5.31,67.31,87.87,131.91,95.52,84.24,140.27,187.18,58.57,30.33,22.85,94.84,46.45,99.34,220.13,10.09,73.62,179.97,122.81,71.66,169.87,38.5,211.82,118.42,316.08,128.83
06:30:00,1546.1,127.1,172.42,2771.78,213.31,319.0,269.73,356.87,72.55,403.18,179.61,72.42,323.2,59.14,108.86,108.23,43.78,136.84,92.97,38.97,1907.8,19.48,126.18,247.29,42.98,239.39,106.8,66.83,80.68,76.35,32.17,225.86,13.77,263.44,131.62,196.17,99.98,28.27,221.64,114.42,212.75,40.39,139.21,66.47,48.01,159.25,353.77,107.84,236.54,106.98,296.8,117.02,90.62,461.4,203.98,100.16,5.48,72.34,94.98,140.04,94.19,85.74,150.2,193.83,62.07,31.63,23.33,98.22,50.21,101.1,235.69,10.71,75.14,186.0,133.76,71.03,191.83,39.94,230.07,126.8,335.08,141.91
06:35:00,1489.97,133.14,182.16,2684.64,237.24,339.47,294.33,373.06,80.31,442.13,185.24,73.55,359.47,60.08,109.46,111.65,48.01,140.87,95.48,39.41,1933.89,20.68,123.85,244.84,46.53,252.92,110.86,67.59,81.88,89.56,34.03,234.44,13.85,284.96,134.73,200.82,102.5,29.61,228.63,119.46,217.79,43.04,141.85,69.19,49.15,171.31,373.28,109.45,256.03,108.68,348.16,115.13,94.95,452.89,220.64,104.7,5.67,76.99,98.22,145.84,103.54,89.81,155.84,201.37,63.04,32.62,24.06,104.38,51.92,107.94,235.81,11.16,77.51,205.88,140.73,77.5,199.75,40.7,242.76,131.56,353.71,148.44
